city_code_external,city_name_local_language,city_name_English,province_code,province_name_local_language,province_name_English,ISO_country_code,country_name_local_language,country_name_English
340300000000,蚌埠市,,340000000000,安徽省,,CN,中国,China
340400000000,淮南市,,340000000000,安徽省,,CN,中国,China
340500000000,马鞍山市,,340000000000,安徽省,,CN,中国,China
340600000000,淮北市,,340000000000,安徽省,,CN,中国,China
340700000000,铜陵市,,340000000000,安徽省,,CN,中国,China
340800000000,安庆市,,340000000000,安徽省,,CN,中国,China
341000000000,黄山市,,340000000000,安徽省,,CN,中国,China
341100000000,滁州市,,340000000000,安徽省,,CN,中国,China
341200000000,阜阳市,,340000000000,安徽省,,CN,中国,China
341300000000,宿州市,,340000000000,安徽省,,CN,中国,China
341500000000,六安市,,340000000000,安徽省,,CN,中国,China
341600000000,亳州市,,340000000000,安徽省,,CN,中国,China
341700000000,池州市,,340000000000,安徽省,,CN,中国,China
341800000000,宣城市,,340000000000,安徽省,,CN,中国,China
350100000000,福州市,,350000000000,福建省,,CN,中国,China
350200000000,厦门市,,350000000000,福建省,,CN,中国,China
350300000000,莆田市,,350000000000,福建省,,CN,中国,China
350400000000,三明市,,350000000000,福建省,,CN,中国,China
350500000000,泉州市,,350000000000,福建省,,CN,中国,China
350600000000,漳州市,,350000000000,福建省,,CN,中国,China
350700000000,南平市,,350000000000,福建省,,CN,中国,China
350800000000,龙岩市,,350000000000,福建省,,CN,中国,China
350900000000,宁德市,,350000000000,福建省,,CN,中国,China
360100000000,南昌市,,360000000000,江西省,,CN,中国,China
360200000000,景德镇市,,360000000000,江西省,,CN,中国,China
360300000000,萍乡市,,360000000000,江西省,,CN,中国,China
360400000000,九江市,,360000000000,江西省,,CN,中国,China
360500000000,新余市,,360000000000,江西省,,CN,中国,China
360600000000,鹰潭市,,360000000000,江西省,,CN,中国,China
360700000000,赣州市,,360000000000,江西省,,CN,中国,China
360800000000,吉安市,,360000000000,江西省,,CN,中国,China
360900000000,宜春市,,360000000000,江西省,,CN,中国,China
361000000000,抚州市,,360000000000,江西省,,CN,中国,China
361100000000,上饶市,,360000000000,江西省,,CN,中国,China
370100000000,济南市,,370000000000,山东省,,CN,中国,China
370200000000,青岛市,,370000000000,山东省,,CN,中国,China
370300000000,淄博市,,370000000000,山东省,,CN,中国,China
370400000000,枣庄市,,370000000000,山东省,,CN,中国,China
370500000000,东营市,,370000000000,山东省,,CN,中国,China
370600000000,烟台市,,370000000000,山东省,,CN,中国,China
370700000000,潍坊市,,370000000000,山东省,,CN,中国,China
370800000000,济宁市,,370000000000,山东省,,CN,中国,China
370900000000,泰安市,,370000000000,山东省,,CN,中国,China
371000000000,威海市,,370000000000,山东省,,CN,中国,China
371100000000,日照市,,370000000000,山东省,,CN,中国,China
371300000000,临沂市,,370000000000,山东省,,CN,中国,China
371400000000,德州市,,370000000000,山东省,,CN,中国,China
371500000000,聊城市,,370000000000,山东省,,CN,中国,China
371600000000,滨州市,,370000000000,山东省,,CN,中国,China
371700000000,菏泽市,,370000000000,山东省,,CN,中国,China
410100000000,郑州市,,410000000000,河南省,,CN,中国,China
410200000000,开封市,,410000000000,河南省,,CN,中国,China
410300000000,洛阳市,,410000000000,河南省,,CN,中国,China
410400000000,平顶山市,,410000000000,河南省,,CN,中国,China
410500000000,安阳市,,410000000000,河南省,,CN,中国,China
410600000000,鹤壁市,,410000000000,河南省,,CN,中国,China
410700000000,新乡市,,410000000000,河南省,,CN,中国,China
410800000000,焦作市,,410000000000,河南省,,CN,中国,China
410900000000,濮阳市,,410000000000,河南省,,CN,中国,China
411000000000,许昌市,,410000000000,河南省,,CN,中国,China
411100000000,漯河市,,410000000000,河南省,,CN,中国,China
411200000000,三门峡市,,410000000000,河南省,,CN,中国,China
411300000000,南阳市,,410000000000,河南省,,CN,中国,China
411400000000,商丘市,,410000000000,河南省,,CN,中国,China
411500000000,信阳市,,410000000000,河南省,,CN,中国,China
411600000000,周口市,,410000000000,河南省,,CN,中国,China
411700000000,驻马店市,,410000000000,河南省,,CN,中国,China
419001000000,济源市,,410000000000,河南省,,CN,中国,China
420100000000,武汉市,,420000000000,湖北省,,CN,中国,China
420200000000,黄石市,,420000000000,湖北省,,CN,中国,China
420300000000,十堰市,,420000000000,湖北省,,CN,中国,China
420500000000,宜昌市,,420000000000,湖北省,,CN,中国,China
420600000000,襄阳市,,420000000000,湖北省,,CN,中国,China
420700000000,鄂州市,,420000000000,湖北省,,CN,中国,China
420800000000,荆门市,,420000000000,湖北省,,CN,中国,China
420900000000,孝感市,,420000000000,湖北省,,CN,中国,China
421000000000,荆州市,,420000000000,湖北省,,CN,中国,China
421100000000,黄冈市,,420000000000,湖北省,,CN,中国,China
421200000000,咸宁市,,420000000000,湖北省,,CN,中国,China
421300000000,随州市,,420000000000,湖北省,,CN,中国,China
422800000000,恩施土家族苗族自治州,,420000000000,湖北省,,CN,中国,China
429004000000,仙桃市,,420000000000,湖北省,,CN,中国,China
429005000000,潜江市,,420000000000,湖北省,,CN,中国,China
429006000000,天门市,,420000000000,湖北省,,CN,中国,China
429021000000,神农架林区,,420000000000,湖北省,,CN,中国,China
430100000000,长沙市,,430000000000,湖南省,,CN,中国,China
430200000000,株洲市,,430000000000,湖南省,,CN,中国,China
430300000000,湘潭市,,430000000000,湖南省,,CN,中国,China
430400000000,衡阳市,,430000000000,湖南省,,CN,中国,China
430500000000,邵阳市,,430000000000,湖南省,,CN,中国,China
430600000000,岳阳市,,430000000000,湖南省,,CN,中国,China
430700000000,常德市,,430000000000,湖南省,,CN,中国,China
430800000000,张家界市,,430000000000,湖南省,,CN,中国,China
430900000000,益阳市,,430000000000,湖南省,,CN,中国,China
431000000000,郴州市,,430000000000,湖南省,,CN,中国,China
431100000000,永州市,,430000000000,湖南省,,CN,中国,China
431200000000,怀化市,,430000000000,湖南省,,CN,中国,China
