TA_key,from_place,from_date,to_place,to_date,transportation_tools,etl_load_time
TRAVEL-1121400,CTU - 成都 - CHENGDU , 2023-04-14 , CAN - 广州 - GUANGZHOU , 2023-04-14 , Plane ,2023-11-07 09:49:06
TRAVEL-1119557,SHA - 上海 - SHANGHAI , 2023-04-06 , HGH - 杭州 - HANGZHOU , 2023-04-06 , Train ,2023-11-07 09:49:06
TRAVEL-1119557,HGH - 杭州 - HANGZHOU , 2023-04-06 , SHA - 上海 - SHANGHAI , 2023-04-06 , Train ,2023-11-07 09:49:06
TRAVEL-1117312,SHA - 上海 - SHANGHAI , 2023-04-10 , HGH - 杭州 - HANGZHOU , 2023-04-10 , Train ,2023-11-07 09:49:06
TRAVEL-1117312,HGH - 杭州 - HANGZHOU , 2023-04-12 , SHA - 上海 - SHANGHAI , 2023-04-12 , Train ,2023-11-07 09:49:06
TRAVEL-1121110,SHA - 上海 - SHANGHAI , 2023-04-12 , PEK - 北京 - BEIJING , 2023-04-12 , Plane ,2023-11-07 09:49:06
TRAVEL-1116063,YNZ - 盐城 - YANCHENG , 2023-03-27 , SZV - 苏州 - SUZHOU , 2023-03-27 , Train ,2023-11-07 09:49:06
TRAVEL-1116063,SZV - 苏州 - SUZHOU , 2023-03-28 , CZX - 常州 - CHANGZHOU , 2023-03-28 , Train ,2023-11-07 09:49:06
TRAVEL-1116063,CZX - 常州 - CHANGZHOU , 2023-03-29 , YNZ - 盐城 - YANCHENG , 2023-03-29 , Train ,2023-11-07 09:49:06
TRAVEL-1116177,SHA - 上海 - SHANGHAI , 2023-03-28 , PEK - 北京 - BEIJING , 2023-03-28 , Plane ,2023-11-07 09:49:06
TRAVEL-1116177,PEK - 北京 - BEIJING , 2023-03-29 , SHA - 上海 - SHANGHAI , 2023-03-29 , Plane ,2023-11-07 09:49:06
TRAVEL-1116403,SHA - 上海 - SHANGHAI , 2023-04-06 , CN0126 - 乐清 - YUEQING , 2023-04-06 , Train ,2023-11-07 09:49:06
TRAVEL-1116403,CN0126 - 乐清 - YUEQING , 2023-04-07 , SHA - 上海 - SHANGHAI , 2023-04-07 , Train ,2023-11-07 09:49:06
TRAVEL-1117032,SHA - 上海 - SHANGHAI , 2023-03-29 , KVN - 昆山 - KUNSHAN , 2023-03-29 , Private Car ,2023-11-07 09:49:06
TRAVEL-1117032,KVN - 昆山 - KUNSHAN , 2023-03-29 , SZV - 苏州 - SUZHOU , 2023-03-29 , Private Car ,2023-11-07 09:49:06
TRAVEL-1117032,SZV - 苏州 - SUZHOU , 2023-03-29 , SHA - 上海 - SHANGHAI , 2023-03-29 , Private Car ,2023-11-07 09:49:06
TRAVEL-1117035,SHA - 上海 - SHANGHAI , 2023-03-21 , SZV - 苏州 - SUZHOU , 2023-03-21 , Company Car ,2023-11-07 09:49:06
TRAVEL-1117035,SZV - 苏州 - SUZHOU , 2023-03-21 , SHA - 上海 - SHANGHAI , 2023-03-21 , Train ,2023-11-07 09:49:06
TRAVEL-1115508,PEK - 北京 - BEIJING , 2023-03-29 , HGH - 杭州 - HANGZHOU , 2023-03-29 , Plane ,2023-11-07 09:49:06
TRAVEL-1115508,HGH - 杭州 - HANGZHOU , 2023-03-31 , PEK - 北京 - BEIJING , 2023-03-31 , Plane ,2023-11-07 09:49:06
TRAVEL-1115907,CSX - 长沙 - CHANGSHA , 2023-03-27 , WUH - 武汉 - WUHAN , 2023-03-27 , Train ,2023-11-07 09:49:06
TRAVEL-1115907,WUH - 武汉 - WUHAN , 2023-03-30 , CSX - 长沙 - CHANGSHA , 2023-03-30 , Train ,2023-11-07 09:49:06
TRAVEL-1117915,SHA - 上海 - SHANGHAI , 2023-04-10 , HFE - 合肥 - HEFEI , 2023-04-10 , Train ,2023-11-07 09:49:06
TRAVEL-1117915,HFE - 合肥 - HEFEI , 2023-04-12 , SHA - 上海 - SHANGHAI , 2023-04-12 , Train ,2023-11-07 09:49:06
TRAVEL-1117922,SZX - 深圳 - SHENZHEN , 2023-04-06 , SHA - 上海 - SHANGHAI , 2023-04-06 , Plane ,2023-11-07 09:49:06
TRAVEL-1117039,KMG - 昆明 - KUNMING , 2023-04-06 , SHA - 上海 - SHANGHAI , 2023-04-06 , Plane ,2023-11-07 09:49:06
TRAVEL-1117039,SHA - 上海 - SHANGHAI , 2023-04-08 , KMG - 昆明 - KUNMING , 2023-04-08 , Plane ,2023-11-07 09:49:06
TRAVEL-1117065,CSX - 长沙 - CHANGSHA , 2023-03-29 , SZX - 深圳 - SHENZHEN , 2023-03-29 , Train ,2023-11-07 09:49:06
TRAVEL-1117065,SZX - 深圳 - SHENZHEN , 2023-03-31 , CSX - 长沙 - CHANGSHA , 2023-03-31 , Train ,2023-11-07 09:49:06
TRAVEL-1117074,SHA - 上海 - SHANGHAI , 2023-03-30 , SHA - 上海 - SHANGHAI , 2023-03-30 , Taxi ,2023-11-07 09:49:06
TRAVEL-1115300,CAN - 广州 - GUANGZHOU , 2023-03-27 , NNG - 南宁 - NANNING , 2023-03-27 , Train ,2023-11-07 09:49:06
TRAVEL-1115300,LZH - 柳州 - LIUZHOU , 2023-03-30 , CAN - 广州 - GUANGZHOU , 2023-03-30 , Train ,2023-11-07 09:49:06
TRAVEL-1114625,CN0450 - 顺德 - SHUNDE , 2023-03-26 , 广州 , 2023-03-26 , Taxi ,2023-11-07 09:49:06
TRAVEL-1114625,广州 , 2023-03-26 , SHA - 上海 - SHANGHAI , 2023-03-26 , Plane ,2023-11-07 09:49:06
TRAVEL-1114625,SHA - 上海 - SHANGHAI , 2023-03-28 , 广州 , 2023-03-28 , Plane ,2023-11-07 09:49:06
TRAVEL-1114625,广州 , 2023-03-28 , CN0450 - 顺德 - SHUNDE , 2023-03-28 , Taxi ,2023-11-07 09:49:06
TRAVEL-1115454,SHA - 上海 - SHANGHAI , 2023-03-30 , TAO - 青岛 - QINGDAO , 2023-03-30 , Plane ,2023-11-07 09:49:06
TRAVEL-1115454,TAO - 青岛 - QINGDAO , 2023-03-30 , WEF - 潍坊 - WEIFANG , 2023-03-30 , Train ,2023-11-07 09:49:06
TRAVEL-1115454,WEF - 潍坊 - WEIFANG , 2023-03-31 , TAO - 青岛 - QINGDAO , 2023-03-31 , Train ,2023-11-07 09:49:06
TRAVEL-1115454,TAO - 青岛 - QINGDAO , 2023-03-31 , SHA - 上海 - SHANGHAI , 2023-03-31 , Plane ,2023-11-07 09:49:06
TRAVEL-1114817,SHA - 上海 - SHANGHAI , 2023-05-21 , MEL - 墨尔本 - MELBOURNE - AU - 澳大利亚 - AUSTRALIA , 2023-03-21 , Plane ,2023-11-07 09:49:06
TRAVEL-1114817,MEL - 墨尔本 - MELBOURNE - AU - 澳大利亚 - AUSTRALIA , 2023-05-27 , SHA - 上海 - SHANGHAI , 2023-05-27 , Plane ,2023-11-07 09:49:06
TRAVEL-1114875,CTU - 成都 - CHENGDU , 2023-03-23 , XIC - 西昌 - XICHANG , 2023-03-23 , Train ,2023-11-07 09:49:06
TRAVEL-1120786,CN0387 - 湖州 - HUZHOU , 2023-04-10 , NKG - 南京 - NANJING , 2023-04-10 , Train ,2023-11-07 09:49:06
TRAVEL-1120786,NKG - 南京 - NANJING , 2023-04-11 , YNZ - 盐城 - YANCHENG , 2023-04-11 , Train ,2023-11-07 09:49:06
TRAVEL-1120786,YNZ - 盐城 - YANCHENG , 2023-04-13 , TAO - 青岛 - QINGDAO , 2023-04-13 , Train ,2023-11-07 09:49:06
TRAVEL-1120786,TAO - 青岛 - QINGDAO , 2023-04-16 , TNA - 济南 - JINAN , 2023-04-16 , Train ,2023-11-07 09:49:06
TRAVEL-1120786,TNA - 济南 - JINAN , 2023-04-18 , SJW - 石家庄 - SHIJIAZHUANG , 2023-04-18 , Train ,2023-11-07 09:49:06
TRAVEL-1120786,SJW - 石家庄 - SHIJIAZHUANG , 2023-04-20 , CGO - 郑州 - ZHENGZHOU , 2023-04-20 , Train ,2023-11-07 09:49:06
TRAVEL-1120786,CGO - 郑州 - ZHENGZHOU , 2023-04-23 , CN0387 - 湖州 - HUZHOU , 2023-04-23 , Train ,2023-11-07 09:49:06
TRAVEL-1114956,SHA - 上海 - SHANGHAI , 2023-03-29 , KMG - 昆明 - KUNMING , 2023-03-29 , Plane ,2023-11-07 09:49:06
