TA_key,from_place,from_date,to_place,to_date,transportation_tools,etl_load_time
TRAVEL-1115241,WNZ - 温州 - WENZHOU , 2023-04-01 , SHA - 上海 - SHANGHAI , 2023-04-01 , Train ,2023-11-07 09:49:06
TRAVEL-1114773,SHA - 上海 - SHANGHAI , 2023-03-14 , WUX - 无锡 - WUXI , 2023-03-14 , Train ,2023-11-07 09:49:06
TRAVEL-1114773,WUX - 无锡 - WUXI , 2023-03-27 , SHA - 上海 - SHANGHAI , 2023-03-27 , Train ,2023-11-07 09:49:06
TRAVEL-1114773,WUX - 无锡 - WUXI , 2023-03-15 , WEF - 潍坊 - WEIFANG , 2023-03-15 , Train ,2023-11-07 09:49:06
TRAVEL-1114773,SHA - 上海 - SHANGHAI , 2023-03-21 , SZV - 苏州 - SUZHOU , 2023-03-21 , Private Car ,2023-11-07 09:49:06
TRAVEL-1116514,SHA - 上海 - SHANGHAI , 2023-04-03 , CSX - 长沙 - CHANGSHA , 2023-04-03 , Plane ,2023-11-07 09:49:06
TRAVEL-1116514,CSX - 长沙 - CHANGSHA , 2023-04-04 , SHA - 上海 - SHANGHAI , 2023-04-04 , Plane ,2023-11-07 09:49:06
TRAVEL-1116544,WUX - 无锡 - WUXI , 2023-03-31 , HRB - 哈尔滨 - HAERBIN , 2023-03-31 , Plane ,2023-11-07 09:49:06
TRAVEL-1116544,HRB - 哈尔滨 - HAERBIN , 2023-04-02 , WUX - 无锡 - WUXI , 2023-04-02 , Plane ,2023-11-07 09:49:06
TRAVEL-1116561,SHA - 上海 - SHANGHAI , 2023-05-07 , SIN - 新加坡 - SINGAPORE - SG - 新加坡 - SINGAPORE , 2023-05-07 , Plane ,2023-11-07 09:49:06
TRAVEL-1114900,SHA - 上海 - SHANGHAI , 2023-03-27 , CAN - 广州 - GUANGZHOU , 2023-03-27 , Plane ,2023-11-07 09:49:06
TRAVEL-1114900,CAN - 广州 - GUANGZHOU , 2023-03-29 , ZHA - 湛江 - ZHANJIANG , 2023-03-29 , Train ,2023-11-07 09:49:06
TRAVEL-1114900,ZHA - 湛江 - ZHANJIANG , 2023-03-31 , SHA - 上海 - SHANGHAI , 2023-03-31 , Plane ,2023-11-07 09:49:06
TRAVEL-1114433,NTG - 南通 - NANTONG , 2023-03-21 , SHA - 上海 - SHANGHAI , 2023-03-21 , Train ,2023-11-07 09:49:06
TRAVEL-1114433,SHA - 上海 - SHANGHAI , 2023-03-23 , NTG - 南通 - NANTONG , 2023-03-23 , Train ,2023-11-07 09:49:06
TRAVEL-1120974,YNZ - 盐城 - YANCHENG , 2023-04-10 , SZV - 苏州 - SUZHOU , 2023-04-10 , Train ,2023-11-07 09:49:06
TRAVEL-1120974,SZV - 苏州 - SUZHOU , 2023-04-10 , CZX - 常州 - CHANGZHOU , 2023-04-10 , Train ,2023-11-07 09:49:06
TRAVEL-1120974,CZX - 常州 - CHANGZHOU , 2023-04-11 , YNZ - 盐城 - YANCHENG , 2023-04-11 , Train ,2023-11-07 09:49:06
TRAVEL-1116971,SHA - 上海 - SHANGHAI , 2023-04-09 , CAN - 广州 - GUANGZHOU , 2023-04-09 , Plane ,2023-11-07 09:49:06
TRAVEL-1116971,CAN - 广州 - GUANGZHOU , 2023-04-12 , TNA - 济南 - JINAN , 2023-04-12 , Plane ,2023-11-07 09:49:06
TRAVEL-1117849,SHA - 上海 - SHANGHAI , 2023-04-03 , WUX - 无锡 - WUXI , 2023-04-03 , Train ,2023-11-07 09:49:06
TRAVEL-1117849,WUX - 无锡 - WUXI , 2023-04-04 , SHA - 上海 - SHANGHAI , 2023-04-04 , Train ,2023-11-07 09:49:06
TRAVEL-1120333,WUH - 武汉 - WUHAN , 2023-04-12 , CAN - 广州 - GUANGZHOU , 2023-04-12 , Plane ,2023-11-07 09:49:06
TRAVEL-1120333,广州 , 2023-04-14 , 武汉 , 2023-04-14 , Plane ,2023-11-07 09:49:06
TRAVEL-1120488,SHA - 上海 - SHANGHAI , 2023-04-11 , CGO - 郑州 - ZHENGZHOU , 2023-04-11 , Plane ,2023-11-07 09:49:06
TRAVEL-1120488,CGO - 郑州 - ZHENGZHOU , 2023-04-13 , SHA - 上海 - SHANGHAI , 2023-04-13 , Plane ,2023-11-07 09:49:06
TRAVEL-1120886,SHA - 上海 - SHANGHAI , 2023-04-10 , SZV - 苏州 - SUZHOU , 2023-04-10 , Private Car ,2023-11-07 09:49:06
TRAVEL-1120886,SHA - 上海 - SHANGHAI , 2023-04-11 , YNZ - 盐城 - YANCHENG , 2023-04-12 , Train ,2023-11-07 09:49:06
TRAVEL-1120886,SHA - 上海 - SHANGHAI , 2023-04-13 , WUX - 无锡 - WUXI , 2023-04-13 , Private Car ,2023-11-07 09:49:06
TRAVEL-1120886,WUX - 无锡 - WUXI , 2023-04-14 , CZX - 常州 - CHANGZHOU , 2023-04-13 , Private Car ,2023-11-07 09:49:06
TRAVEL-1121675,SHA - 上海 - SHANGHAI , 2023-04-11 , YNZ - 盐城 - YANCHENG , 2023-04-11 , Train ,2023-11-07 09:49:06
TRAVEL-1121675,YNZ - 盐城 - YANCHENG , 2023-04-12 , SHA - 上海 - SHANGHAI , 2023-04-12 , Train ,2023-11-07 09:49:06
TRAVEL-1121675,SHA - 上海 - SHANGHAI , 2023-04-13 , 常州市 , 2023-04-13 , Train ,2023-11-07 09:49:06
TRAVEL-1121675,常州市 , 2023-04-14 , 无锡市 , 2023-04-14 , Train ,2023-11-07 09:49:06
TRAVEL-1121675,无锡市 , 2023-04-14 , SHA - 上海 - SHANGHAI , 2023-04-14 , Train ,2023-11-07 09:49:06
TRAVEL-1121080,SHA - 上海 - SHANGHAI , 2023-04-12 , CKG - 重庆 - CHONGQING , 2023-04-12 , Plane ,2023-11-07 09:49:06
TRAVEL-1121080,CKG - 重庆 - CHONGQING , 2023-04-13 , SHA - 上海 - SHANGHAI , 2023-04-13 , Plane ,2023-11-07 09:49:06
TRAVEL-1120141,SHA - 上海 - SHANGHAI , 2023-04-11 , TAO - 青岛 - QINGDAO , 2023-04-11 , Plane ,2023-11-07 09:49:06
TRAVEL-1120141,TAO - 青岛 - QINGDAO , 2023-04-12 , SHA - 上海 - SHANGHAI , 2023-04-12 , Plane ,2023-11-07 09:49:06
TRAVEL-1119792,SJW - 石家庄 - SHIJIAZHUANG , 2023-04-10 , CKG - 重庆 - CHONGQING , 2023-04-10 , Plane ,2023-11-07 09:49:06
TRAVEL-1119792,CKG - 重庆 - CHONGQING , 2023-04-13 , SJW - 石家庄 - SHIJIAZHUANG , 2023-04-13 , Plane ,2023-11-07 09:49:06
TRAVEL-1121594,HGH - 杭州 - HANGZHOU , 2023-04-11 , YNZ - 盐城 - YANCHENG , 2023-04-11 , Train ,2023-11-07 09:49:06
TRAVEL-1121594,YNZ - 盐城 - YANCHENG , 2023-04-14 , HGH - 杭州 - HANGZHOU , 2023-04-14 , Train ,2023-11-07 09:49:06
TRAVEL-1120980,CAN - 广州 - GUANGZHOU , 2023-04-10 , CN0267 - 云浮 - YUNFU , 2023-04-10 , Private Car ,2023-11-07 09:49:06
TRAVEL-1120980,CN0267 - 云浮 - YUNFU , 2023-04-11 , CAN - 广州 - GUANGZHOU , 2023-04-11 , Private Car ,2023-11-07 09:49:06
TRAVEL-1116717,SHA - 上海 - SHANGHAI , 2023-04-03 , CAN - 广州 - GUANGZHOU , 2023-04-03 , Plane ,2023-11-07 09:49:06
TRAVEL-1116717,广州 , 2023-04-07 , 上海 , 2023-04-08 , Plane ,2023-11-07 09:49:06
TRAVEL-1119399,TNA - 济南 - JINAN , 2023-04-11 , YNZ - 盐城 - YANCHENG , 2023-04-11 , Train ,2023-11-07 09:49:06
TRAVEL-1119399,盐城 , 2023-04-13 , 青岛 , 2023-04-13 , Train ,2023-11-07 09:49:06
TRAVEL-1119399,青岛 , 2023-04-15 , 济南 , 2023-04-15 , Train ,2023-11-07 09:49:06
TRAVEL-1119402,TSN - 天津 - TIANJIN , 2023-04-06 , SJW - 石家庄 - SHIJIAZHUANG , 2023-04-06 , Train ,2023-11-07 09:49:06
TRAVEL-1119402,SJW - 石家庄 - SHIJIAZHUANG , 2023-04-08 , TSN - 天津 - TIANJIN , 2023-04-08 , Train ,2023-11-07 09:49:06
TRAVEL-1119408,SHA - 上海 - SHANGHAI , 2023-04-17 , TNA - 济南 - JINAN , 2023-04-17 , Plane ,2023-11-07 09:49:06
TRAVEL-1119408,TNA - 济南 - JINAN , 2023-04-20 , SHA - 上海 - SHANGHAI , 2023-04-20 , Plane ,2023-11-07 09:49:06
TRAVEL-1119407,SHA - 上海 - SHANGHAI , 2023-04-12 , CKG - 重庆 - CHONGQING , 2023-04-12 , Plane ,2023-11-07 09:49:06
TRAVEL-1119407,CKG - 重庆 - CHONGQING , 2023-04-13 , SHA - 上海 - SHANGHAI , 2023-04-13 , Plane ,2023-11-07 09:49:06
TRAVEL-1119412,SHA - 上海 - SHANGHAI , 2023-04-23 , CAN - 广州 - GUANGZHOU , 2023-04-23 , Plane ,2023-11-07 09:49:06
TRAVEL-1119412,FOC - 福州 - FUZHOU(FUJIAN) , 2023-04-28 , SHA - 上海 - SHANGHAI , 2023-04-28 , Plane ,2023-11-07 09:49:06
TRAVEL-1145833,CN0241 - 镇江 - ZHENJIANG , 2023-06-12 , SHA - 上海 - SHANGHAI , 2023-06-12 , Train ,2023-11-07 09:49:06
TRAVEL-1145833,jinan , 2023-06-16 , zhenjiang , 2023-06-16 , Train ,2023-11-07 09:49:06
TRAVEL-1119865,SHA - 上海 - SHANGHAI , 2023-04-12 , WUX - 无锡 - WUXI , 2023-04-12 , Train ,2023-11-07 09:49:06
TRAVEL-1119865,wuxi , 2023-04-13 , shanghai , 2023-04-13 , Train ,2023-11-07 09:49:06
TRAVEL-1120526,SHA - 上海 - SHANGHAI , 2023-04-13 , PEK - 北京 - BEIJING , 2023-04-13 , Plane ,2023-11-07 09:49:06
TRAVEL-1120526,PEK - 北京 - BEIJING , 2023-04-15 , SHA - 上海 - SHANGHAI , 2023-04-15 , Plane ,2023-11-07 09:49:06
TRAVEL-1116899,SHA - 上海 - SHANGHAI , 2023-02-24 , NKG - 南京 - NANJING , 2023-02-24 , Train ,2023-11-07 09:49:06
TRAVEL-1119498,NTG - 南通 - NANTONG , 2023-04-06 , NGB - 宁波 - NINGBO , 2023-04-06 , Train ,2023-11-07 09:49:06
TRAVEL-1119498,NNGB - 宁波 - NINGBO , 2023-04-06 , 温州 , 2023-04-06 , Train ,2023-11-07 09:49:06
TRAVEL-1119498,温州 , 2023-04-07 , NTG - 南通 - NANTONG , 2023-04-07 , Train ,2023-11-07 09:49:06
TRAVEL-1117537,CTU - 成都 - CHENGDU , 2023-04-05 , SHA - 上海 - SHANGHAI , 2023-04-05 , Plane ,2023-11-07 09:49:06
TRAVEL-1117537,SHA - 上海 - SHANGHAI , 2023-04-07 , CTU - 成都 - CHENGDU , 2023-04-07 , Plane ,2023-11-07 09:49:06
TRAVEL-1116678,SHA - 上海 - SHANGHAI , 2023-03-29 , HGH - 杭州 - HANGZHOU , 2023-03-29 , Train ,2023-11-07 09:49:06
TRAVEL-1116678,HGH - 杭州 - HANGZHOU , 2023-03-30 , 余姚 , 2023-03-30 , Train ,2023-11-07 09:49:06
TRAVEL-1119080,SHA - 上海 - SHANGHAI , 2023-04-11 , TAO - 青岛 - QINGDAO , 2023-04-11 , Plane ,2023-11-07 09:49:06
TRAVEL-1119080,TAO - 青岛 - QINGDAO , 2023-04-12 , SHA - 上海 - SHANGHAI , 2023-04-12 , Plane ,2023-11-07 09:49:06
TRAVEL-1119875,SHA - 上海 - SHANGHAI , 2023-04-11 , TAO - 青岛 - QINGDAO , 2023-04-11 , Plane ,2023-11-07 09:49:06
TRAVEL-1119875,TAO - 青岛 - QINGDAO , 2023-04-12 , SHA - 上海 - SHANGHAI , 2023-04-12 , Plane ,2023-11-07 09:49:06
TRAVEL-1121688,CN0241 - 镇江 - ZHENJIANG , 2023-04-09 , SHA - 上海 - SHANGHAI , 2023-04-09 , Train ,2023-11-07 09:49:06
TRAVEL-1121688,shanghai , 2023-04-11 , yancheng , 2023-04-11 , Train ,2023-11-07 09:49:06
TRAVEL-1121688,yancheng , 2023-04-13 , SHA - 上海 - SHANGHAI , 2023-04-13 , Train ,2023-11-07 09:49:06
TRAVEL-1121688,shanghai , 2023-04-14 , zhenjiang , 2023-04-14 , Train ,2023-11-07 09:49:06
TRAVEL-1122200,SHA - 上海 - SHANGHAI , 2023-04-13 , KHN - 南昌 - NANCHANG , 2023-04-13 , Train ,2023-11-07 09:49:06
TRAVEL-1122200,KHN - 南昌 - NANCHANG , 2023-04-14 , SHA - 上海 - SHANGHAI , 2023-04-14 , Train ,2023-11-07 09:49:06
TRAVEL-1121771,SHA - 上海 - SHANGHAI , 2023-04-12 , YNZ - 盐城 - YANCHENG , 2023-04-12 , Train ,2023-11-07 09:49:06
TRAVEL-1121771,YNZ - 盐城 - YANCHENG , 2023-04-14 , CGO - 郑州 - ZHENGZHOU , 2023-04-14 , Train ,2023-11-07 09:49:06
TRAVEL-1121977,SHA - 上海 - SHANGHAI , 2023-04-12 , WUX - 无锡 - WUXI , 2023-04-12 , Train ,2023-11-07 09:49:06
TRAVEL-1121977,WUX - 无锡 - WUXI , 2023-04-13 , Nanjing , 2023-04-13 , Train ,2023-11-07 09:49:06
TRAVEL-1133573,SHA - 上海 - SHANGHAI , 2023-05-20 , XUZ - 徐州 - XUZHOU , 2023-05-20 , Train ,2023-11-07 09:49:06
TRAVEL-1133573,XUZ - 徐州 - XUZHOU , 2023-05-21 , SHA - 上海 - SHANGHAI , 2023-05-21 , Train ,2023-11-07 09:49:06
TRAVEL-1120036,PEK - 北京 - BEIJING , 2023-04-09 , SHA - 上海 - SHANGHAI , 2023-04-09 , Plane ,2023-11-07 09:49:06
TRAVEL-1120036,上海 , 2023-04-11 , 西安 , 2023-04-11 , Plane ,2023-11-07 09:49:06
TRAVEL-1118580,SZV - 苏州 - SUZHOU , 2023-04-12 , FUO - 佛山 - FOSHAN , 2023-04-12 , Plane ,2023-11-07 09:49:06
TRAVEL-1118580,FUO - 佛山 - FOSHAN , 2023-04-14 , SZV - 苏州 - SUZHOU , 2023-04-14 , Plane ,2023-11-07 09:49:06
TRAVEL-1118653,SHA - 上海 - SHANGHAI , 2023-04-12 , CKG - 重庆 - CHONGQING , 2023-04-12 , Plane ,2023-11-07 09:49:06
TRAVEL-1118653,CKG - 重庆 - CHONGQING , 2023-04-13 , SHA - 上海 - SHANGHAI , 2023-04-13 , Plane ,2023-11-07 09:49:06
TRAVEL-1120734,SZX - 深圳 - SHENZHEN , 2023-04-14 , SHA - 上海 - SHANGHAI , 2023-04-14 , Plane ,2023-11-07 09:49:06
TRAVEL-1122744,SHA - 上海 - SHANGHAI , 2023-04-17 , NKG - 南京 - NANJING , 2023-04-17 , Train ,2023-11-07 09:49:06
TRAVEL-1122744,NKG - 南京 - NANJING , 2023-04-17 , SHA - 上海 - SHANGHAI , 2023-04-17 , Train ,2023-11-07 09:49:06
TRAVEL-1122454,SHA - 上海 - SHANGHAI , 2023-04-13 , NKG - 南京 - NANJING , 2023-04-13 , Train ,2023-11-07 09:49:06
TRAVEL-1122454,NKG - 南京 - NANJING , 2023-04-14 , SHA - 上海 - SHANGHAI , 2024-08-23 , Train ,2023-11-07 09:49:06
TRAVEL-1122755,YNZ - 盐城 - YANCHENG , 2023-04-13 , XUZ - 徐州 - XUZHOU , 2023-04-13 , Train ,2023-11-07 09:49:06
TRAVEL-1122755,XUZ - 徐州 - XUZHOU , 2023-04-13 , HIA - 淮安 - HUAIAN , 2023-04-13 , Train ,2023-11-07 09:49:06
TRAVEL-1122755,HIA - 淮安 - HUAIAN , 2023-04-14 , YNZ - 盐城 - YANCHENG , 2023-04-14 , Train ,2023-11-07 09:49:06
TRAVEL-1119782,SHA - 上海 - SHANGHAI , 2023-04-10 , WUX - 无锡 - WUXI , 2023-04-10 , Train ,2023-11-07 09:49:06
TRAVEL-1119782,WUX - 无锡 - WUXI , 2023-04-10 , SHA - 上海 - SHANGHAI , 2023-04-10 , Train ,2023-11-07 09:49:06
TRAVEL-1119953,SHA - 上海 - SHANGHAI , 2023-04-10 , XFN - 襄阳（襄樊） - XIANGYANG（XIANGFAN） , 2023-04-10 , Plane ,2023-11-07 09:49:06
TRAVEL-1119953,XFN - 襄阳（襄樊） - XIANGYANG（XIANGFAN） , 2023-04-11 , SHA - 上海 - SHANGHAI , 2023-04-11 , Plane ,2023-11-07 09:49:06
TRAVEL-1121164,SHA - 上海 - SHANGHAI , 2023-04-14 , CSX - 长沙 - CHANGSHA , 2023-04-14 , Plane ,2023-11-07 09:49:06
TRAVEL-1121164,CSX - 长沙 - CHANGSHA , 2023-04-16 , SZX - 深圳 - SHENZHEN , 2023-04-16 , Plane ,2023-11-07 09:49:06
TRAVEL-1121164,SZX - 深圳 - SHENZHEN , 2023-04-18 , SHA - 上海 - SHANGHAI , 2023-04-18 , Plane ,2023-11-07 09:49:06
TRAVEL-1121164,SHA - 上海 - SHANGHAI , 2023-04-20 , CAN - 广州 - GUANGZHOU , 2023-04-20 , Plane ,2023-11-07 09:49:06
TRAVEL-1121164,CAN - 广州 - GUANGZHOU , 2023-04-21 , CSX - 长沙 - CHANGSHA , 2023-04-21 , Plane ,2023-11-07 09:49:06
TRAVEL-1121164,CSX - 长沙 - CHANGSHA , 2023-04-23 , PEK - 北京 - BEIJING , 2023-04-23 , Plane ,2023-11-07 09:49:06
TRAVEL-1121164,PEK - 北京 - BEIJING , 2023-04-25 , SHA - 上海 - SHANGHAI , 2023-04-25 , Plane ,2023-11-07 09:49:06
TRAVEL-1119259,TNA - 济南 - JINAN , 2023-04-17 , WUH - 武汉 - WUHAN , 2023-04-17 , Train ,2023-11-07 09:49:06
TRAVEL-1119259,WUH - 武汉 - WUHAN , 2023-04-19 , SIA - 西安 - XIAN , 2023-04-19 , Train ,2023-11-07 09:49:06
TRAVEL-1119259,SIA - 西安 - XIAN , 2023-04-20 , TNA - 济南 - JINAN , 2023-04-20 , Train ,2023-11-07 09:49:06
TRAVEL-1119263,SHA - 上海 - SHANGHAI , 2023-04-13 , TAO - 青岛 - QINGDAO , 2023-04-13 , Plane ,2023-11-07 09:49:06
TRAVEL-1118572,KMG - 昆明 - KUNMING , 2023-04-10 , URC - 乌鲁木齐 - URUMQI , 2023-04-10 , Plane ,2023-11-07 09:49:06
TRAVEL-1118572,URC - 乌鲁木齐 - URUMQI , 2023-04-13 , KRL - 库尔勒 - KUERLE , 2023-04-13 , Plane ,2023-11-07 09:49:06
TRAVEL-1118572,KRL - 库尔勒 - KUERLE , 2023-04-14 , ACF - 阿拉尔 - ALAER , 2023-04-14 , Plane ,2023-11-07 09:49:06
TRAVEL-1118572,ACF - 阿拉尔 - ALAER , 2023-04-15 , HTN - 和田 - HETIAN , 2023-04-15 , Plane ,2023-11-07 09:49:06
TRAVEL-1118572,HTN - 和田 - HETIAN , 2023-04-17 , KHG - 喀什 - KASHI , 2023-04-17 , Plane ,2023-11-07 09:49:06
TRAVEL-1118572,KHG - 喀什 - KASHI , 2023-04-19 , AKU - 阿克苏 - AKESU , 2023-04-19 , Plane ,2023-11-07 09:49:06
TRAVEL-1118572,AKU - 阿克苏 - AKESU , 2023-04-20 , URC - 乌鲁木齐 - URUMQI , 2023-04-20 , Plane ,2023-11-07 09:49:06
TRAVEL-1118572,URC - 乌鲁木齐 - URUMQI , 2023-04-20 , KMG - 昆明 - KUNMING , 2023-04-20 , Plane ,2023-11-07 09:49:06
TRAVEL-1118993,SHA - 上海 - SHANGHAI , 2023-04-19 , KVN - 昆山 - KUNSHAN , 2023-04-19 , Train ,2023-11-07 09:49:06
TRAVEL-1118993,KVN - 昆山 - KUNSHAN , 2023-04-19 , SHA - 上海 - SHANGHAI , 2023-04-19 , Train ,2023-11-07 09:49:06
TRAVEL-1119877,SHA - 上海 - SHANGHAI , 2023-04-11 , 沈阳 , 2023-04-11 , Plane ,2023-11-07 09:49:06
TRAVEL-1119877,沈阳 , 2023-04-13 , DLC - 大连 - DALIAN , 2023-04-13 , Plane ,2023-11-07 09:49:06
TRAVEL-1119877,DLC - 大连 - DALIAN , 2023-04-14 , 郑州 , 2023-04-14 , Plane ,2023-11-07 09:49:06
TRAVEL-1118659,SHA - 上海 - SHANGHAI , 2023-04-10 , HFE - 合肥 - HEFEI , 2023-04-10 , Train ,2023-11-07 09:49:06
TRAVEL-1118659,HFE - 合肥 - HEFEI , 2023-04-11 , PEK - 北京 - BEIJING , 2023-04-11 , Plane ,2023-11-07 09:49:06
TRAVEL-1118659,PEK - 北京 - BEIJING , 2023-04-13 , SHA - 上海 - SHANGHAI , 2023-04-13 , Plane ,2023-11-07 09:49:06
TRAVEL-1122894,SHA - 上海 - SHANGHAI , 2023-04-18 , TAO - 青岛 - QINGDAO , 2023-04-18 , Plane ,2023-11-07 09:49:06
TRAVEL-1122894,TNA - 济南 - JINAN , 2023-04-21 , SHA - 上海 - SHANGHAI , 2023-04-21 , Plane ,2023-11-07 09:49:06
TRAVEL-1122923,CTU - 成都 - CHENGDU , 2023-04-18 , KMG - 昆明 - KUNMING , 2023-04-18 , Plane ,2023-11-07 09:49:06
TRAVEL-1122923,KMG - 昆明 - KUNMING , 2023-04-20 , CN0309 - 景洪 - JINGHONG , 2023-04-19 , Train ,2023-11-07 09:49:06
TRAVEL-1122923,CN0309 - 景洪 - JINGHONG , 2023-04-21 , CTU - 成都 - CHENGDU , 2023-04-21 , Plane ,2023-11-07 09:49:06
TRAVEL-1123131,KVN - 昆山 - KUNSHAN , 2023-04-16 , NKG - 南京 - NANJING , 2023-04-16 , Train ,2023-11-07 09:49:06
TRAVEL-1123131,NKG - 南京 - NANJING , 2023-04-17 , NKG - 南京 - NANJING , 2023-04-17 , Train ,2023-11-07 09:49:06
TRAVEL-1123226,SHA - 上海 - SHANGHAI , 2023-04-14 , HGH - 杭州 - HANGZHOU , 2023-04-14 , Private Car ,2023-11-07 09:49:06
TRAVEL-1123542,1342 - 当涂（马鞍山） - DANGTU（MAANSHAN） , 2023-04-12 , KVN - 昆山 - KUNSHAN , 2023-04-12 , Train ,2023-11-07 09:49:06
TRAVEL-1123542,KVN - 昆山 - KUNSHAN , 2023-04-13 , KVN - 昆山 - KUNSHAN , 2023-04-13 , Train ,2023-11-07 09:49:06
TRAVEL-1118200,YNZ - 盐城 - YANCHENG , 2023-04-06 , SHA - 上海 - SHANGHAI , 2023-04-06 , Train ,2023-11-07 09:49:06
TRAVEL-1118200,SHA - 上海 - SHANGHAI , 2023-04-06 , HFE - 合肥 - HEFEI , 2023-04-06 , Train ,2023-11-07 09:49:06
TRAVEL-1118200,HFE - 合肥 - HEFEI , 2023-04-07 , SHA - 上海 - SHANGHAI , 2023-04-07 , Train ,2023-11-07 09:49:06
TRAVEL-1118200,SHA - 上海 - SHANGHAI , 2023-04-08 , YNZ - 盐城 - YANCHENG , 2023-04-08 , Train ,2023-11-07 09:49:06
TRAVEL-1122395,CGO - 郑州 - ZHENGZHOU , 2023-04-18 , DSN - 鄂尔多斯 - ORDOS , 2023-04-18 , Plane ,2023-11-07 09:49:06
TRAVEL-1122395,DSN - 鄂尔多斯 - ORDOS , 2023-04-20 , BAV - 包头 - BAOTOU , 2023-04-20 , Train ,2023-11-07 09:49:06
TRAVEL-1122395,BAV - 包头 - BAOTOU , 2023-04-20 , UCB - 乌兰察布 - WULANCHABU , 2023-04-20 , Train ,2023-11-07 09:49:06
TRAVEL-1122395,HET - 呼和浩特 - HOHHOT , 2023-04-21 , CGO - 郑州 - ZHENGZHOU , 2023-04-21 , Plane ,2023-11-07 09:49:06
TRAVEL-1120688,CTU - 成都 - CHENGDU , 2023-04-12 , INC - 银川 - YINCHUAN , 2023-04-12 , Plane ,2023-11-07 09:49:06
TRAVEL-1120688,INC - 银川 - YINCHUAN , 2023-04-13 , SIA - 西安 - XIAN , 2023-04-13 , Train ,2023-11-07 09:49:06
TRAVEL-1120688,SIA - 西安 - XIAN , 2023-04-14 , CTU - 成都 - CHENGDU , 2023-04-14 , Train ,2023-11-07 09:49:06
TRAVEL-1122103,SHA - 上海 - SHANGHAI , 2023-04-24 , PEK - 北京 - BEIJING , 2023-04-24 , Plane ,2023-11-07 09:49:06
TRAVEL-1122103,PEK - 北京 - BEIJING , 2023-04-24 , Baoding 保定 , 2023-04-24 , Taxi ,2023-11-07 09:49:06
TRAVEL-1122103,Baoding 保定 , 2023-04-26 , PEK - 北京 - BEIJING , 2023-04-26 , Taxi ,2023-11-07 09:49:06
TRAVEL-1122103,PEK - 北京 - BEIJING , 2023-04-26 , SHA - 上海 - SHANGHAI , 2023-04-26 , Plane ,2023-11-07 09:49:06
TRAVEL-1118482,CAN - 广州 - GUANGZHOU , 2023-04-04 , XHO - 东莞 - DONGGUAN , 2023-04-04 , Private Car ,2023-11-07 09:49:06
TRAVEL-1118482,XHO - 东莞 - DONGGUAN , 2023-04-04 , CAN - 广州 - GUANGZHOU , 2023-04-04 , Private Car ,2023-11-07 09:49:06
TRAVEL-1118482,CAN - 广州 - GUANGZHOU , 2023-04-06 , FUO - 佛山 - FOSHAN , 2023-04-06 , Private Car ,2023-11-07 09:49:06
TRAVEL-1118482,FUO - 佛山 - FOSHAN , 2023-04-06 , CAN - 广州 - GUANGZHOU , 2023-04-06 , Private Car ,2023-11-07 09:49:06
TRAVEL-1122220,SZX - 深圳 - SHENZHEN , 2023-04-12 , CAN - 广州 - GUANGZHOU , 2023-04-12 , Private Car ,2023-11-07 09:49:06
TRAVEL-1121912,SHA - 上海 - SHANGHAI , 2023-04-17 , wuhan , 2023-04-17 , Plane ,2023-11-07 09:49:06
TRAVEL-1121912,wuhan , 2023-04-17 , WDS - 十堰 - SHIYAN , 2023-04-17 , Train ,2023-11-07 09:49:06
TRAVEL-1121912,WDS - 十堰 - SHIYAN , 2023-04-19 , xiangyang , 2023-04-19 , Train ,2023-11-07 09:49:06
TRAVEL-1121912,xiangyang , 2023-04-21 , wuhan , 2023-04-21 , Train ,2023-11-07 09:49:06
TRAVEL-1121912,wuhan , 2023-04-21 , SHA - 上海 - SHANGHAI , 2023-04-21 , Plane ,2023-11-07 09:49:06
TRAVEL-1118535,CAN - 广州 - GUANGZHOU , 2023-04-09 , SHA - 上海 - SHANGHAI , 2023-04-09 , Plane ,2023-11-07 09:49:06
TRAVEL-1118535,SHA - 上海 - SHANGHAI , 2023-04-14 , CAN - 广州 - GUANGZHOU , 2023-04-14 , Plane ,2023-11-07 09:49:06
TRAVEL-1121938,CGQ - 长春 - CHANGCHUN , 2023-04-24 , SHA - 上海 - SHANGHAI , 2023-04-24 , Plane ,2023-11-07 09:49:06
TRAVEL-1121938,SHA - 上海 - SHANGHAI , 2023-04-25 , HGH - 杭州 - HANGZHOU , 2023-04-25 , Train ,2023-11-07 09:49:06
TRAVEL-1121938,HGH - 杭州 - HANGZHOU , 2023-04-26 , SHA - 上海 - SHANGHAI , 2023-04-26 , Train ,2023-11-07 09:49:06
TRAVEL-1121938,SHA - 上海 - SHANGHAI , 2023-04-28 , CGQ - 长春 - CHANGCHUN , 2023-04-28 , Plane ,2023-11-07 09:49:06
TRAVEL-1121083,SHA - 上海 - SHANGHAI , 2023-04-19 , KVN - 昆山 - KUNSHAN , 2023-04-19 , Company Car ,2023-11-07 09:49:06
TRAVEL-1119039,SHA - 上海 - SHANGHAI , 2023-03-28 , TNA - 济南 - JINAN , 2023-03-28 , Train ,2023-11-07 09:49:06
TRAVEL-1119039,TNA - 济南 - JINAN , 2023-03-29 , SJW - 石家庄 - SHIJIAZHUANG , 2023-03-29 , Train ,2023-11-07 09:49:06
