a,,,,,,,,(No column name),corder_type
2001173941000010 ,2001173941000010 ,,,,,,2001173963000060 ,2001173963000060 ,ZSO
2001173942000010 ,#N/A,,,,,,2001173963000070 ,2001173963000070 ,ZSO
2001173943000010 ,#N/A,,,,,,2001173963000080 ,2001173963000080 ,ZSO
2001173944000010 ,#N/A,,,,,,2001173963000090 ,2001173963000090 ,ZSO
2001173944000020 ,#N/A,,,,,,2001173963000100 ,2001173963000100 ,ZSO
2001173944000030 ,#N/A,,,,,,2001173963000110 ,2001173963000110 ,ZSO
2001173944000040 ,#N/A,,,,,,2001173963000120 ,2001173963000120 ,ZSO
2001173944000050 ,#N/A,,,,,,2001173963000130 ,2001173963000130 ,ZSO
2001173944000060 ,#N/A,,,,,,2001173963000140 ,2001173963000140 ,ZSO
2001173944000070 ,#N/A,,,,,,2001173963000150 ,2001173963000150 ,ZSO
2001173944000080 ,#N/A,,,,,,2001173963000160 ,2001173963000160 ,ZSO
2001173944000090 ,#N/A,,,,,,2001173963000170 ,2001173963000170 ,ZSO
2001173944000100 ,#N/A,,,,,,2001173963000180 ,2001173963000180 ,ZSO
2001173944000110 ,#N/A,,,,,,2001173963000190 ,2001173963000190 ,ZSO
2001173944000120 ,#N/A,,,,,,2001173963000200 ,2001173963000200 ,ZSO
2001173944000130 ,#N/A,,,,,,2001173963000210 ,2001173963000210 ,ZSO
2001173944000140 ,#N/A,,,,,,2001173963000220 ,2001173963000220 ,ZSO
2001173944000150 ,#N/A,,,,,,2001173963000230 ,2001173963000230 ,ZSO
2001173944000160 ,#N/A,,,,,,2001173963000240 ,2001173963000240 ,ZSO
2001173944000170 ,#N/A,,,,,,2001173963000250 ,2001173963000250 ,ZSO
2001173944000180 ,#N/A,,,,,,2001173963000260 ,2001173963000260 ,ZSO
2001173944000190 ,#N/A,,,,,,2001173963000270 ,2001173963000270 ,ZSO
2001173944000200 ,#N/A,,,,,,2001173963000280 ,2001173963000280 ,ZSO
2001173944000210 ,#N/A,,,,,,2001173963000290 ,2001173963000290 ,ZSO
2001173944000220 ,#N/A,,,,,,2001173963000300 ,2001173963000300 ,ZSO
2001173944000230 ,#N/A,,,,,,2001173963000310 ,2001173963000310 ,ZSO
2001173944000240 ,#N/A,,,,,,2001173963000320 ,2001173963000320 ,ZSO
2001173944000250 ,#N/A,,,,,,2001173963000330 ,2001173963000330 ,ZSO
2001173944000260 ,#N/A,,,,,,2001173963000340 ,2001173963000340 ,ZSO
2001173944000270 ,#N/A,,,,,,2001173963000350 ,2001173963000350 ,ZSO
2001173944000280 ,#N/A,,,,,,2001173963000360 ,2001173963000360 ,ZSO
2001173944000290 ,#N/A,,,,,,2001173963000370 ,2001173963000370 ,ZSO
2001173944000300 ,#N/A,,,,,,2001173963000380 ,2001173963000380 ,ZSO
2001173944000310 ,#N/A,,,,,,2001173963000390 ,2001173963000390 ,ZSO
2001173944000320 ,#N/A,,,,,,2001173963000400 ,2001173963000400 ,ZSO
2001173944000330 ,#N/A,,,,,,2001173963000410 ,2001173963000410 ,ZSO
2001173944000340 ,#N/A,,,,,,2001173963000420 ,2001173963000420 ,ZSO
2001173944000350 ,#N/A,,,,,,2001173963000430 ,2001173963000430 ,ZSO
2001173944000360 ,#N/A,,,,,,2001173963000440 ,2001173963000440 ,ZSO
2001173944000370 ,#N/A,,,,,,2001173963000450 ,2001173963000450 ,ZSO
2001173944000380 ,#N/A,,,,,,2001173963000460 ,2001173963000460 ,ZSO
2001173944000390 ,#N/A,,,,,,2001173963000470 ,2001173963000470 ,ZSO
2001173944000400 ,#N/A,,,,,,2001173963000480 ,2001173963000480 ,ZSO
2001173944000410 ,#N/A,,,,,,2001173963000490 ,2001173963000490 ,ZSO
2001173944000420 ,#N/A,,,,,,2001173963000500 ,2001173963000500 ,ZSO
2001173944000430 ,#N/A,,,,,,2001173963000510 ,2001173963000510 ,ZSO
2001173944000440 ,#N/A,,,,,,2001173963000520 ,2001173963000520 ,ZSO
2001173944000450 ,#N/A,,,,,,2001173963000530 ,2001173963000530 ,ZSO
2001173944000460 ,#N/A,,,,,,2001173963000540 ,2001173963000540 ,ZSO
2001173944000470 ,#N/A,,,,,,2001173963000550 ,2001173963000550 ,ZSO
2001173944000480 ,#N/A,,,,,,2001173963000560 ,2001173963000560 ,ZSO
2001173944000490 ,2001173944000490 ,,,,,,2001173963000570 ,2001173963000570 ,ZSO
2001173944000500 ,#N/A,,,,,,2001173963000580 ,2001173963000580 ,ZSO
2001173944000510 ,#N/A,,,,,,2001173963000590 ,2001173963000590 ,ZSO
2001173944000520 ,#N/A,,,,,,2001173963000600 ,2001173963000600 ,ZSO
2001173944000530 ,#N/A,,,,,,2001173963000610 ,2001173963000610 ,ZSO
2001173944000540 ,#N/A,,,,,,2001173963000620 ,2001173963000620 ,ZSO
2001173944000550 ,#N/A,,,,,,2001173963000630 ,2001173963000630 ,ZSO
2001173944000560 ,#N/A,,,,,,2001173963000640 ,2001173963000640 ,ZSO
2001173944000570 ,#N/A,,,,,,2001173963000650 ,2001173963000650 ,ZSO
2001173944000580 ,#N/A,,,,,,2001173963000660 ,2001173963000660 ,ZSO
2001173944000590 ,#N/A,,,,,,2001173963000670 ,2001173963000670 ,ZSO
2001173944000600 ,#N/A,,,,,,2001173963000680 ,2001173963000680 ,ZSO
2001173944000610 ,#N/A,,,,,,2001173963000690 ,2001173963000690 ,ZSO
2001173944000620 ,#N/A,,,,,,2001173963000700 ,2001173963000700 ,ZSO
2001173944000630 ,#N/A,,,,,,2001173963000710 ,2001173963000710 ,ZSO
2001173944000640 ,#N/A,,,,,,2001173963000720 ,2001173963000720 ,ZSO
2001173944000650 ,#N/A,,,,,,2001173963000730 ,2001173963000730 ,ZSO
2001173944000660 ,#N/A,,,,,,2001173963000740 ,2001173963000740 ,ZSO
2001173944000670 ,#N/A,,,,,,2001173963000750 ,2001173963000750 ,ZSO
2001173944000680 ,#N/A,,,,,,2001173963000760 ,2001173963000760 ,ZSO
2001173944000690 ,#N/A,,,,,,2001173963000770 ,2001173963000770 ,ZSO
2001173944000700 ,#N/A,,,,,,2001173963000780 ,2001173963000780 ,ZSO
2001173944000710 ,#N/A,,,,,,2001173963000790 ,2001173963000790 ,ZSO
2001173944000720 ,#N/A,,,,,,2001173963000800 ,2001173963000800 ,ZSO
2001173944000730 ,#N/A,,,,,,2001173963000810 ,2001173963000810 ,ZSO
2001173944000740 ,#N/A,,,,,,2001173963000820 ,2001173963000820 ,ZSO
2001173944000750 ,#N/A,,,,,,2001173963000830 ,2001173963000830 ,ZSO
2001173944000760 ,#N/A,,,,,,2001173963000840 ,2001173963000840 ,ZSO
2001173944000770 ,#N/A,,,,,,2001173963000850 ,2001173963000850 ,ZSO
2001173944000780 ,#N/A,,,,,,2001173963000860 ,2001173963000860 ,ZSO
2001173944000790 ,#N/A,,,,,,2001173963000870 ,2001173963000870 ,ZSO
2001173944000800 ,#N/A,,,,,,2001173963000880 ,2001173963000880 ,ZSO
2001173944000810 ,#N/A,,,,,,2001173963000890 ,2001173963000890 ,ZSO
2001173944000820 ,#N/A,,,,,,2001173963000900 ,2001173963000900 ,ZSO
2001173944000830 ,#N/A,,,,,,2001173963000910 ,2001173963000910 ,ZSO
2001173944000840 ,#N/A,,,,,,2001173963000920 ,2001173963000920 ,ZSO
2001173944000850 ,#N/A,,,,,,2001173963000930 ,2001173963000930 ,ZSO
2001173944000860 ,#N/A,,,,,,2001173963000940 ,2001173963000940 ,ZSO
2001173944000870 ,#N/A,,,,,,2001173963000950 ,2001173963000950 ,ZSO
2001173944000880 ,#N/A,,,,,,2001173963000960 ,2001173963000960 ,ZSO
2001173944000890 ,#N/A,,,,,,2001173963000970 ,2001173963000970 ,ZSO
2001173944000900 ,#N/A,,,,,,2001173963000980 ,2001173963000980 ,ZSO
2001173944000910 ,#N/A,,,,,,2001173963000990 ,2001173963000990 ,ZSO
2001173944000920 ,#N/A,,,,,,2001173963001000 ,2001173963001000 ,ZSO
2001173944000930 ,#N/A,,,,,,2001173963001010 ,2001173963001010 ,ZSO
2001173944000940 ,#N/A,,,,,,2001173963001020 ,2001173963001020 ,ZSO
2001173944000950 ,#N/A,,,,,,2001173963001030 ,2001173963001030 ,ZSO
2001173944000960 ,#N/A,,,,,,2001173963001040 ,2001173963001040 ,ZSO
2001173944000970 ,#N/A,,,,,,2001173963001050 ,2001173963001050 ,ZSO
