a,,,,,,,,(No column name),corder_type
2001173948000030 ,2001173948000030 ,,,,,,,,
2001173948000040 ,2001173948000040 ,,,,,,,,
2001173949000010 ,#N/A,,,,,,,,
2001173949000020 ,#N/A,,,,,,,,
2001173950000010 ,2001173950000010 ,,,,,,,,
2001173951000010 ,#N/A,,,,,,,,
2001173951000020 ,2001173951000020 ,,,,,,,,
2001173951000030 ,2001173951000030 ,,,,,,,,
2001173951000040 ,#N/A,,,,,,,,
2001173951000050 ,2001173951000050 ,,,,,,,,
2001173951000060 ,2001173951000060 ,,,,,,,,
2001173951000070 ,#N/A,,,,,,,,
2001173951000080 ,#N/A,,,,,,,,
2001173951000090 ,2001173951000090 ,,,,,,,,
2001173951000100 ,2001173951000100 ,,,,,,,,
2001173951000110 ,#N/A,,,,,,,,
2001173951000120 ,#N/A,,,,,,,,
2001173952000010 ,#N/A,,,,,,,,
2001173952000020 ,#N/A,,,,,,,,
2001173952000030 ,#N/A,,,,,,,,
2001173954000010 ,#N/A,,,,,,,,
2001173954000020 ,#N/A,,,,,,,,
2001173954000030 ,#N/A,,,,,,,,
2001173954000040 ,#N/A,,,,,,,,
2001173954000050 ,#N/A,,,,,,,,
2001173954000060 ,#N/A,,,,,,,,
2001173954000070 ,#N/A,,,,,,,,
2001173954000080 ,2001173954000080 ,,,,,,,,
2001173954000090 ,#N/A,,,,,,,,
2001173954000100 ,#N/A,,,,,,,,
2001173954000110 ,#N/A,,,,,,,,
2001173954000120 ,#N/A,,,,,,,,
2001173954000130 ,#N/A,,,,,,,,
2001173954000140 ,2001173954000140 ,,,,,,,,
2001173954000150 ,#N/A,,,,,,,,
2001173954000160 ,#N/A,,,,,,,,
2001173954000170 ,#N/A,,,,,,,,
2001173954000180 ,#N/A,,,,,,,,
2001173954000190 ,#N/A,,,,,,,,
2001173954000200 ,#N/A,,,,,,,,
2001173954000210 ,2001173954000210 ,,,,,,,,
2001173954000220 ,#N/A,,,,,,,,
2001173954000230 ,#N/A,,,,,,,,
2001173954000240 ,#N/A,,,,,,,,
2001173954000250 ,#N/A,,,,,,,,
2001173954000260 ,#N/A,,,,,,,,
2001173954000270 ,#N/A,,,,,,,,
2001173954000280 ,#N/A,,,,,,,,
2001173954000290 ,#N/A,,,,,,,,
2001173954000300 ,#N/A,,,,,,,,
2001173954000310 ,#N/A,,,,,,,,
2001173954000320 ,#N/A,,,,,,,,
2001173954000330 ,#N/A,,,,,,,,
2001173954000340 ,#N/A,,,,,,,,
2001173954000350 ,#N/A,,,,,,,,
2001173954000360 ,2001173954000360 ,,,,,,,,
2001173954000370 ,#N/A,,,,,,,,
2001173954000380 ,#N/A,,,,,,,,
2001173954000390 ,#N/A,,,,,,,,
2001173954000400 ,#N/A,,,,,,,,
2001173954000410 ,#N/A,,,,,,,,
2001173954000420 ,#N/A,,,,,,,,
2001173954000430 ,#N/A,,,,,,,,
2001173954000440 ,#N/A,,,,,,,,
2001173954000450 ,#N/A,,,,,,,,
2001173954000460 ,#N/A,,,,,,,,
2001173954000470 ,2001173954000470 ,,,,,,,,
2001173954000480 ,#N/A,,,,,,,,
2001173954000490 ,#N/A,,,,,,,,
2001173954000500 ,#N/A,,,,,,,,
2001173954000510 ,#N/A,,,,,,,,
2001173954000520 ,#N/A,,,,,,,,
2001173954000530 ,#N/A,,,,,,,,
2001173954000540 ,2001173954000540 ,,,,,,,,
2001173954000550 ,#N/A,,,,,,,,
2001173954000560 ,#N/A,,,,,,,,
2001173954000570 ,#N/A,,,,,,,,
2001173954000580 ,#N/A,,,,,,,,
2001173954000590 ,2001173954000590 ,,,,,,,,
2001173954000600 ,#N/A,,,,,,,,
2001173954000610 ,#N/A,,,,,,,,
2001173954000620 ,#N/A,,,,,,,,
2001173954000630 ,#N/A,,,,,,,,
2001173954000640 ,#N/A,,,,,,,,
2001173954000650 ,#N/A,,,,,,,,
2001173954000660 ,#N/A,,,,,,,,
2001173954000670 ,#N/A,,,,,,,,
2001173954000680 ,#N/A,,,,,,,,
2001173954000690 ,#N/A,,,,,,,,
2001173954000700 ,#N/A,,,,,,,,
2001173954000710 ,#N/A,,,,,,,,
2001173954000720 ,#N/A,,,,,,,,
2001173954000730 ,#N/A,,,,,,,,
2001173954000740 ,#N/A,,,,,,,,
2001173954000750 ,#N/A,,,,,,,,
2001173954000760 ,#N/A,,,,,,,,
2001173954000770 ,#N/A,,,,,,,,
2001173954000780 ,#N/A,,,,,,,,
2001173954000790 ,#N/A,,,,,,,,
2001173954000800 ,#N/A,,,,,,,,
2001173954000810 ,#N/A,,,,,,,,
2001173954000820 ,#N/A,,,,,,,,
2001173954000830 ,#N/A,,,,,,,,
2001173954000840 ,2001173954000840 ,,,,,,,,
2001173954000850 ,#N/A,,,,,,,,
2001173954000860 ,#N/A,,,,,,,,
2001173954000870 ,#N/A,,,,,,,,
2001173954000880 ,#N/A,,,,,,,,
2001173954000890 ,#N/A,,,,,,,,
2001173954000900 ,#N/A,,,,,,,,
2001173954000910 ,#N/A,,,,,,,,
2001173954000920 ,#N/A,,,,,,,,
2001173954000930 ,#N/A,,,,,,,,
2001173954000940 ,#N/A,,,,,,,,
2001173954000950 ,#N/A,,,,,,,,
2001173954000960 ,#N/A,,,,,,,,
2001173954000970 ,#N/A,,,,,,,,
2001173954000980 ,#N/A,,,,,,,,
2001173954000990 ,2001173954000990 ,,,,,,,,
2001173954001000 ,#N/A,,,,,,,,
2001173954001010 ,#N/A,,,,,,,,
2001173954001020 ,#N/A,,,,,,,,
2001173954001030 ,#N/A,,,,,,,,
2001173954001040 ,#N/A,,,,,,,,
2001173954001050 ,#N/A,,,,,,,,
2001173954001060 ,#N/A,,,,,,,,
2001173954001070 ,#N/A,,,,,,,,
2001173954001080 ,#N/A,,,,,,,,
2001173955000010 ,#N/A,,,,,,,,
2001173955000020 ,#N/A,,,,,,,,
2001173955000030 ,#N/A,,,,,,,,
2001173956000010 ,#N/A,,,,,,,,
2001173956000020 ,#N/A,,,,,,,,
2001173956000030 ,#N/A,,,,,,,,
2001173956000040 ,#N/A,,,,,,,,
2001173956000050 ,#N/A,,,,,,,,
2001173956000060 ,#N/A,,,,,,,,
2001173956000070 ,#N/A,,,,,,,,
2001173956000080 ,#N/A,,,,,,,,
2001173956000090 ,#N/A,,,,,,,,
2001173956000100 ,#N/A,,,,,,,,
2001173956000110 ,#N/A,,,,,,,,
2001173956000120 ,#N/A,,,,,,,,
2001173956000130 ,#N/A,,,,,,,,
2001173956000140 ,#N/A,,,,,,,,
2001173956000150 ,#N/A,,,,,,,,
2001173956000160 ,#N/A,,,,,,,,
2001173956000170 ,#N/A,,,,,,,,
2001173956000180 ,#N/A,,,,,,,,
2001173956000190 ,#N/A,,,,,,,,
2001173956000200 ,#N/A,,,,,,,,
2001173956000210 ,#N/A,,,,,,,,
2001173956000220 ,#N/A,,,,,,,,
2001173956000230 ,#N/A,,,,,,,,
2001173956000240 ,#N/A,,,,,,,,
2001173956000250 ,#N/A,,,,,,,,
2001173956000260 ,#N/A,,,,,,,,
2001173956000270 ,#N/A,,,,,,,,
2001173956000280 ,#N/A,,,,,,,,
2001173956000290 ,#N/A,,,,,,,,
2001173956000300 ,#N/A,,,,,,,,
2001173956000310 ,#N/A,,,,,,,,
2001173956000320 ,#N/A,,,,,,,,
2001173956000330 ,#N/A,,,,,,,,
2001173956000340 ,#N/A,,,,,,,,
2001173956000350 ,#N/A,,,,,,,,
2001173956000360 ,#N/A,,,,,,,,
2001173956000370 ,#N/A,,,,,,,,
2001173956000380 ,#N/A,,,,,,,,
2001173956000390 ,#N/A,,,,,,,,
2001173956000400 ,#N/A,,,,,,,,
2001173956000410 ,#N/A,,,,,,,,
2001173956000420 ,#N/A,,,,,,,,
2001173956000430 ,#N/A,,,,,,,,
2001173956000440 ,#N/A,,,,,,,,
2001173956000450 ,#N/A,,,,,,,,
2001173956000460 ,2001173956000460 ,,,,,,,,
2001173956000470 ,#N/A,,,,,,,,
2001173956000480 ,#N/A,,,,,,,,
2001173956000490 ,#N/A,,,,,,,,
2001173956000500 ,#N/A,,,,,,,,
2001173956000510 ,#N/A,,,,,,,,
2001173956000520 ,#N/A,,,,,,,,
2001173956000530 ,#N/A,,,,,,,,
2001173956000540 ,#N/A,,,,,,,,
2001173956000550 ,#N/A,,,,,,,,
2001173956000560 ,#N/A,,,,,,,,
2001173956000570 ,#N/A,,,,,,,,
2001173956000580 ,#N/A,,,,,,,,
2001173956000590 ,#N/A,,,,,,,,
2001173956000600 ,#N/A,,,,,,,,
2001173956000610 ,#N/A,,,,,,,,
2001173956000620 ,#N/A,,,,,,,,
2001173956000630 ,#N/A,,,,,,,,
2001173956000640 ,#N/A,,,,,,,,
2001173956000650 ,#N/A,,,,,,,,
2001173956000660 ,#N/A,,,,,,,,
2001173956000670 ,2001173956000670 ,,,,,,,,
2001173956000680 ,#N/A,,,,,,,,
2001173956000690 ,#N/A,,,,,,,,
2001173956000700 ,#N/A,,,,,,,,
2001173956000710 ,#N/A,,,,,,,,
2001173956000720 ,#N/A,,,,,,,,
2001173956000730 ,#N/A,,,,,,,,
2001173956000740 ,#N/A,,,,,,,,
2001173956000750 ,#N/A,,,,,,,,
2001173956000760 ,#N/A,,,,,,,,
2001173956000770 ,#N/A,,,,,,,,
2001173956000780 ,#N/A,,,,,,,,
2001173956000790 ,#N/A,,,,,,,,
2001173956000800 ,#N/A,,,,,,,,
2001173956000810 ,#N/A,,,,,,,,
2001173956000820 ,#N/A,,,,,,,,
2001173956000830 ,#N/A,,,,,,,,
2001173956000840 ,#N/A,,,,,,,,
2001173956000850 ,#N/A,,,,,,,,
2001173956000860 ,#N/A,,,,,,,,
2001173956000870 ,#N/A,,,,,,,,
2001173956000880 ,2001173956000880 ,,,,,,,,
2001173956000890 ,#N/A,,,,,,,,
2001173956000900 ,2001173956000900 ,,,,,,,,
2001173956000910 ,#N/A,,,,,,,,
2001173956000920 ,#N/A,,,,,,,,
2001173956000930 ,#N/A,,,,,,,,
2001173956000940 ,#N/A,,,,,,,,
2001173956000950 ,#N/A,,,,,,,,
2001173956000960 ,#N/A,,,,,,,,
2001173956000970 ,#N/A,,,,,,,,
2001173956000980 ,#N/A,,,,,,,,
2001173956000990 ,#N/A,,,,,,,,
2001173956001000 ,#N/A,,,,,,,,
2001173956001010 ,#N/A,,,,,,,,
2001173956001020 ,#N/A,,,,,,,,
2001173956001030 ,2001173956001030 ,,,,,,,,
2001173956001040 ,#N/A,,,,,,,,
2001173956001050 ,#N/A,,,,,,,,
2001173956001060 ,#N/A,,,,,,,,
2001173956001070 ,#N/A,,,,,,,,
2001173956001080 ,#N/A,,,,,,,,
2001173956001090 ,#N/A,,,,,,,,
2001173956001100 ,#N/A,,,,,,,,
2001173956001110 ,#N/A,,,,,,,,
2001173956001120 ,#N/A,,,,,,,,
2001173956001130 ,#N/A,,,,,,,,
2001173956001140 ,#N/A,,,,,,,,
2001173956001150 ,#N/A,,,,,,,,
2001173956001160 ,#N/A,,,,,,,,
2001173956001170 ,#N/A,,,,,,,,
2001173956001180 ,#N/A,,,,,,,,
2001173956001190 ,#N/A,,,,,,,,
2001173956001200 ,#N/A,,,,,,,,
2001173956001210 ,#N/A,,,,,,,,
2001173956001220 ,#N/A,,,,,,,,
2001173956001230 ,#N/A,,,,,,,,
2001173956001240 ,#N/A,,,,,,,,
2001173956001250 ,#N/A,,,,,,,,
2001173956001260 ,#N/A,,,,,,,,
2001173956001270 ,#N/A,,,,,,,,
2001173956001280 ,#N/A,,,,,,,,
2001173956001290 ,#N/A,,,,,,,,
2001173956001300 ,#N/A,,,,,,,,
2001173956001310 ,2001173956001310 ,,,,,,,,
2001173956001320 ,#N/A,,,,,,,,
2001173956001330 ,2001173956001330 ,,,,,,,,
2001173956001340 ,#N/A,,,,,,,,
2001173956001350 ,#N/A,,,,,,,,
2001173956001360 ,#N/A,,,,,,,,
2001173956001370 ,#N/A,,,,,,,,
2001173956001380 ,#N/A,,,,,,,,
2001173956001390 ,#N/A,,,,,,,,
2001173956001400 ,#N/A,,,,,,,,
2001173956001410 ,#N/A,,,,,,,,
2001173956001420 ,#N/A,,,,,,,,
2001173956001430 ,#N/A,,,,,,,,
2001173956001440 ,#N/A,,,,,,,,
2001173956001450 ,2001173956001450 ,,,,,,,,
2001173956001460 ,#N/A,,,,,,,,
2001173956001470 ,#N/A,,,,,,,,
2001173956001480 ,#N/A,,,,,,,,
2001173956001490 ,#N/A,,,,,,,,
2001173956001500 ,#N/A,,,,,,,,
2001173956001510 ,#N/A,,,,,,,,
2001173956001520 ,#N/A,,,,,,,,
2001173956001530 ,#N/A,,,,,,,,
2001173956001540 ,#N/A,,,,,,,,
2001173956001550 ,#N/A,,,,,,,,
2001173956001560 ,#N/A,,,,,,,,
2001173956001570 ,#N/A,,,,,,,,
2001173956001580 ,#N/A,,,,,,,,
2001173956001590 ,#N/A,,,,,,,,
2001173956001600 ,2001173956001600 ,,,,,,,,
2001173956001610 ,#N/A,,,,,,,,
2001173956001620 ,#N/A,,,,,,,,
2001173956001630 ,#N/A,,,,,,,,
2001173956001640 ,#N/A,,,,,,,,
2001173956001650 ,#N/A,,,,,,,,
2001173956001660 ,#N/A,,,,,,,,
2001173956001670 ,#N/A,,,,,,,,
2001173956001680 ,#N/A,,,,,,,,
2001173956001690 ,#N/A,,,,,,,,
2001173956001700 ,#N/A,,,,,,,,
2001173956001710 ,#N/A,,,,,,,,
2001173956001720 ,#N/A,,,,,,,,
2001173956001730 ,#N/A,,,,,,,,
2001173956001740 ,#N/A,,,,,,,,
2001173956001750 ,#N/A,,,,,,,,
2001173956001760 ,#N/A,,,,,,,,
2001173956001770 ,#N/A,,,,,,,,
2001173956001780 ,#N/A,,,,,,,,
2001173956001790 ,#N/A,,,,,,,,
2001173957000010 ,#N/A,,,,,,,,
2001173957000020 ,2001173957000020 ,,,,,,,,
2001173957000030 ,2001173957000030 ,,,,,,,,
2001173957000040 ,2001173957000040 ,,,,,,,,
2001173957000050 ,2001173957000050 ,,,,,,,,
2001173957000060 ,2001173957000060 ,,,,,,,,
2001173957000070 ,2001173957000070 ,,,,,,,,
2001173957000080 ,2001173957000080 ,,,,,,,,
2001173957000090 ,2001173957000090 ,,,,,,,,
2001173958000010 ,#N/A,,,,,,,,
2001173958000020 ,#N/A,,,,,,,,
2001173958000030 ,2001173958000030 ,,,,,,,,
2001173958000040 ,#N/A,,,,,,,,
2001173958000050 ,#N/A,,,,,,,,
2001173958000060 ,#N/A,,,,,,,,
2001173958000070 ,#N/A,,,,,,,,
2001173958000080 ,#N/A,,,,,,,,
2001173958000090 ,#N/A,,,,,,,,
2001173958000100 ,#N/A,,,,,,,,
2001173958000110 ,#N/A,,,,,,,,
2001173958000120 ,#N/A,,,,,,,,
2001173958000130 ,#N/A,,,,,,,,
2001173958000140 ,#N/A,,,,,,,,
2001173958000150 ,#N/A,,,,,,,,
2001173958000160 ,#N/A,,,,,,,,
2001173958000170 ,#N/A,,,,,,,,
2001173958000180 ,#N/A,,,,,,,,
2001173958000190 ,#N/A,,,,,,,,
2001173958000200 ,#N/A,,,,,,,,
2001173958000210 ,2001173958000210 ,,,,,,,,
2001173958000220 ,#N/A,,,,,,,,
2001173958000230 ,#N/A,,,,,,,,
2001173958000240 ,#N/A,,,,,,,,
2001173958000250 ,#N/A,,,,,,,,
2001173958000260 ,#N/A,,,,,,,,
2001173958000270 ,#N/A,,,,,,,,
2001173958000280 ,#N/A,,,,,,,,
2001173958000290 ,#N/A,,,,,,,,
2001173958000300 ,#N/A,,,,,,,,
2001173958000310 ,#N/A,,,,,,,,
2001173958000320 ,#N/A,,,,,,,,
2001173958000330 ,2001173958000330 ,,,,,,,,
2001173958000340 ,2001173958000340 ,,,,,,,,
2001173958000350 ,#N/A,,,,,,,,
2001173958000360 ,#N/A,,,,,,,,
2001173958000370 ,#N/A,,,,,,,,
2001173958000380 ,#N/A,,,,,,,,
2001173958000390 ,#N/A,,,,,,,,
2001173958000400 ,#N/A,,,,,,,,
2001173958000410 ,2001173958000410 ,,,,,,,,
2001173958000420 ,#N/A,,,,,,,,
2001173958000430 ,#N/A,,,,,,,,
2001173958000440 ,#N/A,,,,,,,,
2001173958000450 ,#N/A,,,,,,,,
2001173958000460 ,#N/A,,,,,,,,
2001173958000470 ,#N/A,,,,,,,,
2001173958000480 ,#N/A,,,,,,,,
2001173958000490 ,#N/A,,,,,,,,
2001173958000500 ,#N/A,,,,,,,,
2001173958000510 ,#N/A,,,,,,,,
2001173958000520 ,#N/A,,,,,,,,
2001173958000530 ,#N/A,,,,,,,,
2001173958000540 ,#N/A,,,,,,,,
2001173958000550 ,#N/A,,,,,,,,
2001173958000560 ,#N/A,,,,,,,,
2001173958000570 ,#N/A,,,,,,,,
2001173958000580 ,#N/A,,,,,,,,
2001173958000590 ,#N/A,,,,,,,,
2001173958000600 ,#N/A,,,,,,,,
2001173958000610 ,#N/A,,,,,,,,
2001173958000620 ,#N/A,,,,,,,,
2001173958000630 ,#N/A,,,,,,,,
2001173958000640 ,#N/A,,,,,,,,
2001173958000650 ,#N/A,,,,,,,,
2001173958000660 ,#N/A,,,,,,,,
2001173958000670 ,#N/A,,,,,,,,
2001173958000680 ,#N/A,,,,,,,,
2001173958000690 ,2001173958000690 ,,,,,,,,
2001173958000700 ,#N/A,,,,,,,,
2001173958000710 ,#N/A,,,,,,,,
2001173958000720 ,2001173958000720 ,,,,,,,,
2001173958000730 ,#N/A,,,,,,,,
2001173958000740 ,#N/A,,,,,,,,
2001173958000750 ,2001173958000750 ,,,,,,,,
2001173958000760 ,#N/A,,,,,,,,
2001173958000770 ,#N/A,,,,,,,,
2001173958000780 ,#N/A,,,,,,,,
2001173958000790 ,#N/A,,,,,,,,
2001173958000800 ,#N/A,,,,,,,,
2001173958000810 ,#N/A,,,,,,,,
2001173958000820 ,#N/A,,,,,,,,
2001173958000830 ,2001173958000830 ,,,,,,,,
2001173958000840 ,#N/A,,,,,,,,
2001173958000850 ,#N/A,,,,,,,,
2001173958000860 ,#N/A,,,,,,,,
2001173958000870 ,#N/A,,,,,,,,
2001173958000880 ,#N/A,,,,,,,,
2001173958000890 ,#N/A,,,,,,,,
2001173958000900 ,#N/A,,,,,,,,
2001173958000910 ,#N/A,,,,,,,,
2001173958000920 ,#N/A,,,,,,,,
2001173958000930 ,#N/A,,,,,,,,
2001173958000940 ,#N/A,,,,,,,,
2001173958000950 ,#N/A,,,,,,,,
2001173958000960 ,#N/A,,,,,,,,
2001173958000970 ,#N/A,,,,,,,,
2001173958000980 ,#N/A,,,,,,,,
2001173958000990 ,#N/A,,,,,,,,
2001173958001000 ,#N/A,,,,,,,,
2001173958001010 ,#N/A,,,,,,,,
2001173958001020 ,#N/A,,,,,,,,
2001173958001030 ,#N/A,,,,,,,,
2001173958001040 ,#N/A,,,,,,,,
2001173958001050 ,#N/A,,,,,,,,
2001173958001060 ,#N/A,,,,,,,,
2001173958001070 ,#N/A,,,,,,,,
2001173958001080 ,#N/A,,,,,,,,
2001173958001090 ,#N/A,,,,,,,,
2001173958001100 ,#N/A,,,,,,,,
2001173958001110 ,#N/A,,,,,,,,
2001173958001120 ,#N/A,,,,,,,,
2001173958001130 ,#N/A,,,,,,,,
2001173958001140 ,#N/A,,,,,,,,
2001173958001150 ,#N/A,,,,,,,,
2001173958001160 ,#N/A,,,,,,,,
2001173958001170 ,#N/A,,,,,,,,
2001173958001180 ,#N/A,,,,,,,,
2001173958001190 ,#N/A,,,,,,,,
2001173958001200 ,#N/A,,,,,,,,
2001173958001210 ,#N/A,,,,,,,,
2001173958001220 ,#N/A,,,,,,,,
2001173958001230 ,#N/A,,,,,,,,
2001173958001240 ,#N/A,,,,,,,,
2001173958001250 ,#N/A,,,,,,,,
2001173958001260 ,#N/A,,,,,,,,
2001173958001270 ,2001173958001270 ,,,,,,,,
2001173958001280 ,#N/A,,,,,,,,
2001173958001290 ,#N/A,,,,,,,,
2001173958001300 ,#N/A,,,,,,,,
2001173958001310 ,#N/A,,,,,,,,
2001173958001320 ,2001173958001320 ,,,,,,,,
2001173958001330 ,2001173958001330 ,,,,,,,,
2001173958001340 ,#N/A,,,,,,,,
2001173958001350 ,#N/A,,,,,,,,
2001173958001360 ,#N/A,,,,,,,,
2001173958001370 ,#N/A,,,,,,,,
2001173958001380 ,2001173958001380 ,,,,,,,,
2001173958001390 ,#N/A,,,,,,,,
2001173958001400 ,#N/A,,,,,,,,
2001173958001410 ,#N/A,,,,,,,,
2001173958001420 ,#N/A,,,,,,,,
2001173958001430 ,#N/A,,,,,,,,
2001173958001440 ,#N/A,,,,,,,,
2001173958001450 ,#N/A,,,,,,,,
2001173958001460 ,#N/A,,,,,,,,
2001173958001470 ,#N/A,,,,,,,,
2001173958001480 ,#N/A,,,,,,,,
2001173958001490 ,#N/A,,,,,,,,
2001173958001500 ,#N/A,,,,,,,,
2001173958001510 ,#N/A,,,,,,,,
2001173958001520 ,#N/A,,,,,,,,
2001173958001530 ,#N/A,,,,,,,,
2001173958001540 ,#N/A,,,,,,,,
2001173958001550 ,#N/A,,,,,,,,
2001173958001560 ,#N/A,,,,,,,,
2001173958001570 ,#N/A,,,,,,,,
2001173958001580 ,#N/A,,,,,,,,
2001173958001590 ,#N/A,,,,,,,,
2001173958001600 ,#N/A,,,,,,,,
2001173958001610 ,#N/A,,,,,,,,
2001173958001620 ,#N/A,,,,,,,,
2001173958001630 ,#N/A,,,,,,,,
2001173958001640 ,#N/A,,,,,,,,
2001173958001650 ,#N/A,,,,,,,,
2001173958001660 ,#N/A,,,,,,,,
2001173958001670 ,2001173958001670 ,,,,,,,,
2001173958001680 ,2001173958001680 ,,,,,,,,
2001173958001690 ,2001173958001690 ,,,,,,,,
2001173959000010 ,2001173959000010 ,,,,,,,,
2001173960000010 ,#N/A,,,,,,,,
2001173960000020 ,#N/A,,,,,,,,
2001173960000030 ,#N/A,,,,,,,,
2001173960000040 ,#N/A,,,,,,,,
2001173960000050 ,#N/A,,,,,,,,
2001173960000060 ,#N/A,,,,,,,,
2001173960000070 ,#N/A,,,,,,,,
2001173960000080 ,#N/A,,,,,,,,
2001173960000090 ,#N/A,,,,,,,,
2001173960000100 ,#N/A,,,,,,,,
2001173960000110 ,#N/A,,,,,,,,
2001173960000120 ,#N/A,,,,,,,,
2001173960000130 ,#N/A,,,,,,,,
2001173960000140 ,#N/A,,,,,,,,
2001173960000150 ,#N/A,,,,,,,,
2001173960000160 ,#N/A,,,,,,,,
2001173960000170 ,#N/A,,,,,,,,
2001173960000180 ,#N/A,,,,,,,,
2001173961000010 ,2001173961000010 ,,,,,,,,
2001173961000020 ,#N/A,,,,,,,,
2001173961000030 ,#N/A,,,,,,,,
2001173961000040 ,#N/A,,,,,,,,
2001173962000010 ,#N/A,,,,,,,,
2001173962000020 ,#N/A,,,,,,,,
2001173962000030 ,#N/A,,,,,,,,
2001173962000040 ,#N/A,,,,,,,,
2001173963000010 ,2001173963000010 ,,,,,,,,
2001173963000020 ,2001173963000020 ,,,,,,,,
2001173963000030 ,2001173963000030 ,,,,,,,,
2001173963000040 ,2001173963000040 ,,,,,,,,
2001173963000050 ,2001173963000050 ,,,,,,,,
2001173963000060 ,2001173963000060 ,,,,,,,,
2001173963000070 ,2001173963000070 ,,,,,,,,
2001173963000080 ,2001173963000080 ,,,,,,,,
2001173963000090 ,2001173963000090 ,,,,,,,,
2001173963000100 ,2001173963000100 ,,,,,,,,
2001173963000110 ,2001173963000110 ,,,,,,,,
2001173963000120 ,2001173963000120 ,,,,,,,,
2001173963000130 ,2001173963000130 ,,,,,,,,
2001173963000140 ,2001173963000140 ,,,,,,,,
2001173963000150 ,2001173963000150 ,,,,,,,,
2001173963000160 ,2001173963000160 ,,,,,,,,
2001173963000170 ,2001173963000170 ,,,,,,,,
2001173963000180 ,2001173963000180 ,,,,,,,,
2001173963000190 ,2001173963000190 ,,,,,,,,
2001173963000200 ,2001173963000200 ,,,,,,,,
2001173963000210 ,2001173963000210 ,,,,,,,,
2001173963000220 ,2001173963000220 ,,,,,,,,
2001173963000230 ,2001173963000230 ,,,,,,,,
2001173963000240 ,2001173963000240 ,,,,,,,,
2001173963000250 ,2001173963000250 ,,,,,,,,
2001173963000260 ,2001173963000260 ,,,,,,,,
2001173963000270 ,2001173963000270 ,,,,,,,,
2001173963000280 ,2001173963000280 ,,,,,,,,
2001173963000290 ,2001173963000290 ,,,,,,,,
2001173963000300 ,2001173963000300 ,,,,,,,,
2001173963000310 ,2001173963000310 ,,,,,,,,
2001173963000320 ,2001173963000320 ,,,,,,,,
2001173963000330 ,2001173963000330 ,,,,,,,,
2001173963000340 ,2001173963000340 ,,,,,,,,
2001173963000350 ,2001173963000350 ,,,,,,,,
2001173963000360 ,2001173963000360 ,,,,,,,,
2001173963000370 ,2001173963000370 ,,,,,,,,
2001173963000380 ,2001173963000380 ,,,,,,,,
2001173963000390 ,2001173963000390 ,,,,,,,,
2001173963000400 ,2001173963000400 ,,,,,,,,
2001173963000410 ,2001173963000410 ,,,,,,,,
2001173963000420 ,2001173963000420 ,,,,,,,,
2001173963000430 ,2001173963000430 ,,,,,,,,
2001173963000440 ,2001173963000440 ,,,,,,,,
2001173963000450 ,2001173963000450 ,,,,,,,,
2001173963000460 ,2001173963000460 ,,,,,,,,
2001173963000470 ,2001173963000470 ,,,,,,,,
2001173963000480 ,2001173963000480 ,,,,,,,,
2001173963000490 ,2001173963000490 ,,,,,,,,
2001173963000500 ,2001173963000500 ,,,,,,,,
2001173963000510 ,2001173963000510 ,,,,,,,,
2001173963000520 ,2001173963000520 ,,,,,,,,
2001173963000530 ,2001173963000530 ,,,,,,,,
2001173963000540 ,2001173963000540 ,,,,,,,,
2001173963000550 ,2001173963000550 ,,,,,,,,
2001173963000560 ,2001173963000560 ,,,,,,,,
2001173963000570 ,2001173963000570 ,,,,,,,,
2001173963000580 ,2001173963000580 ,,,,,,,,
2001173963000590 ,2001173963000590 ,,,,,,,,
2001173963000600 ,2001173963000600 ,,,,,,,,
2001173963000610 ,2001173963000610 ,,,,,,,,
2001173963000620 ,2001173963000620 ,,,,,,,,
2001173963000630 ,2001173963000630 ,,,,,,,,
2001173963000640 ,2001173963000640 ,,,,,,,,
2001173963000650 ,2001173963000650 ,,,,,,,,
2001173963000660 ,2001173963000660 ,,,,,,,,
2001173963000670 ,2001173963000670 ,,,,,,,,
2001173963000680 ,2001173963000680 ,,,,,,,,
2001173963000690 ,2001173963000690 ,,,,,,,,
2001173963000700 ,2001173963000700 ,,,,,,,,
2001173963000710 ,2001173963000710 ,,,,,,,,
2001173963000720 ,2001173963000720 ,,,,,,,,
2001173963000730 ,2001173963000730 ,,,,,,,,
2001173963000740 ,2001173963000740 ,,,,,,,,
2001173963000750 ,2001173963000750 ,,,,,,,,
2001173963000760 ,2001173963000760 ,,,,,,,,
2001173963000770 ,2001173963000770 ,,,,,,,,
2001173963000780 ,2001173963000780 ,,,,,,,,
2001173963000790 ,2001173963000790 ,,,,,,,,
2001173963000800 ,2001173963000800 ,,,,,,,,
2001173963000810 ,2001173963000810 ,,,,,,,,
2001173963000820 ,2001173963000820 ,,,,,,,,
2001173963000830 ,2001173963000830 ,,,,,,,,
2001173963000840 ,2001173963000840 ,,,,,,,,
2001173963000850 ,2001173963000850 ,,,,,,,,
2001173963000860 ,2001173963000860 ,,,,,,,,
2001173963000870 ,2001173963000870 ,,,,,,,,
2001173963000880 ,2001173963000880 ,,,,,,,,
2001173963000890 ,2001173963000890 ,,,,,,,,
2001173963000900 ,2001173963000900 ,,,,,,,,
2001173963000910 ,2001173963000910 ,,,,,,,,
2001173963000920 ,2001173963000920 ,,,,,,,,
2001173963000930 ,2001173963000930 ,,,,,,,,
